,DATUM,EMITTENT,TYP,ART DER RECHTE,GESAMTZAHL DER RECHTE,WERT,DETAILS
2,29.05.2020,Alpine Select AG,Veräusserung,Namenaktien,71,880.40,
3,29.05.2020,Alpine Select AG,Erwerb,Namenaktien,10500,129700.00,
4,29.05.2020,Galenica AG,Veräusserung,Namenaktien,3000,210434.00,
5,29.05.2020,Intershop Holding AG,Veräusserung,Namenaktien,205,108746.00,
6,28.05.2020,Alpine Select AG,Veräusserung,Namenaktien,60,744.00,
7,28.05.2020,Alpine Select AG,Erwerb,Namenaktien,13081,160896.30,
8,28.05.2020,EFG International,Erwerb,Namenaktien,444716,2758049.00,
9,28.05.2020,Gurit Holding AG,Veräusserung,Inhaberaktien,50,70340.00,
10,28.05.2020,HBM Healthcare Investments AG,Veräusserung,Andere Titel,1580,387675.00,
11,28.05.2020,Intershop Holding AG,Veräusserung,Namenaktien,95,50363.00,
12,28.05.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,5000,705000.00,
13,28.05.2020,Kühne + Nagel International AG,Veräusserung,Namenaktien,2500,351250.00,
14,28.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,1000,73300.00,
15,28.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,7718,1700171.30,
16,28.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,11182,819812.75,
17,28.05.2020,Sunrise Communications Group AG,Veräusserung,Namenaktien,13000,1053000.00,
18,28.05.2020,UBS Group AG,Veräusserung,Namenaktien,180000,1890900.20,
19,28.05.2020,nebag ag,Erwerb,Namenaktien,3611,32156.68,
20,27.05.2020,Alpine Select AG,Erwerb,Namenaktien,15000,184500.00,
21,27.05.2020,Calida Holding AG,Veräusserung,Namenaktien,93,2697.00,
24,27.05.2020,EFG International,Erwerb,Namenaktien,227146,1374386.00,
25,27.05.2020,Feintool International Holding AG,Veräusserung,Namenaktien,1700,76500.00,
26,27.05.2020,INFICON Holding AG,Veräusserung,Namenaktien,1,750.00,
27,27.05.2020,LEM Holding SA,Erwerb,Namenaktien,100,129804.00,
28,27.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,4000,287827.90,
29,27.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,1370,89050.00,
30,27.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,1000,60600.00,
31,27.05.2020,Roche Holding AG,Erwerb,Inhaberaktien,600,203880.00,
32,27.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,15845,3511403.00,
33,27.05.2020,Sonova Holding AG,Erwerb,Namenaktien,100,20500.00,
34,27.05.2020,Stadler Rail AG,Veräusserung,Namenaktien,4500,177778.08,
35,27.05.2020,Vontobel Holding AG,Veräusserung,Namenaktien,8750,500042.16,
36,26.05.2020,Alpine Select AG,Veräusserung,Namenaktien,1357,16826.80,
37,26.05.2020,Alpine Select AG,Erwerb,Namenaktien,10000,123000.00,
38,26.05.2020,EFG International,Erwerb,Namenaktien,162049,948374.00,
39,26.05.2020,Elma Electronic AG,Erwerb,Namenaktien,50,22100.00,
40,26.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,48,4318.94,
41,26.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,48,4318.94,
42,26.05.2020,INFICON Holding AG,Veräusserung,Namenaktien,109,81750.00,
43,26.05.2020,Kudelski S.A.,Veräusserung,Inhaberaktien,6228,19120.00,
46,26.05.2020,Kudelski S.A.,Erwerb,Inhaberaktien,8000,24460.00,
47,26.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,3025,209675.00,
48,26.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,3000,181800.00,
49,26.05.2020,Stadler Rail AG,Erwerb,Namenaktien,1500000,57150000.00,
50,26.05.2020,VZ Holding AG,Veräusserung,Namenaktien,2536,13060.40,
51,26.05.2020,dormakaba Holding AG,Veräusserung,Namenaktien,500,260156.50,
52,26.05.2020,nebag ag,Veräusserung,Namenaktien,800,7200.00,
53,25.05.2020,Alpine Select AG,Veräusserung,Namenaktien,340,4216.00,
54,25.05.2020,Alpine Select AG,Erwerb,Namenaktien,12000,146200.00,
55,25.05.2020,Banque Cantonale Vaudoise,Veräusserung,Namenaktien,111,98679.00,
56,25.05.2020,COLTENE Holding AG,Veräusserung,Namenaktien,5267,363423.00,
57,25.05.2020,Calida Holding AG,Veräusserung,Namenaktien,294,8526.00,
58,25.05.2020,DUFRY AG,Veräusserung,Namenaktien,437,11274.60,
59,25.05.2020,DUFRY AG,Veräusserung,Namenaktien,350,9030.00,
60,25.05.2020,EFG International,Erwerb,Namenaktien,212582,1207681.00,
61,25.05.2020,Elma Electronic AG,Erwerb,Namenaktien,50,22100.00,
62,25.05.2020,Liechtensteinische Landesbank AG,Veräusserung,Namenaktien,1740,100288.30,
63,25.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,8687,741081.20,
64,25.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,6019,427163.20,
65,25.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,448,93632.00,
68,25.05.2020,Stadler Rail AG,Erwerb,Namenaktien,41583,1600945.50,
69,25.05.2020,VZ Holding AG,Veräusserung,Namenaktien,1944,10011.60,
70,25.05.2020,Vifor Pharma AG,Veräusserung,Namenaktien,1000,148877.50,
71,25.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,91,44590.00,
72,25.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,83,40670.00,
73,25.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,83,40670.00,
74,25.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,21,10290.00,
75,24.05.2020,Swiss Re AG,Erwerb,Namenaktien,1,20988.00,
76,24.05.2020,Swiss Re AG,Erwerb,Namenaktien,1,20988.00,
77,24.05.2020,Swiss Re AG,Erwerb,Namenaktien,1,20988.00,
78,24.05.2020,Swiss Re AG,Erwerb,Namenaktien,1,20573.40,
79,22.05.2020,Alpine Select AG,Veräusserung,Namenaktien,500,6700.00,
80,22.05.2020,Alpine Select AG,Erwerb,Namenaktien,1000,13200.00,
81,22.05.2020,COLTENE Holding AG,Veräusserung,Namenaktien,3088,213072.00,
82,22.05.2020,Calida Holding AG,Veräusserung,Namenaktien,131,3799.00,
83,22.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,11,990.00,
84,22.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,11,990.00,
85,22.05.2020,Kühne + Nagel International AG,Erwerb,Namenaktien,7500,1059375.00,
86,22.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,5435,426323.35,
87,22.05.2020,Sonova Holding AG,Veräusserung,Namenaktien,2033,396435.00,
90,22.05.2020,Stadler Rail AG,Erwerb,Namenaktien,34321,1321313.45,
91,22.05.2020,Stadler Rail AG,Erwerb,Namenaktien,780,29874.00,
92,21.05.2020,Alcon Inc.,Veräusserung,Namenaktien,5000,301321.15,
93,20.05.2020,Alpine Select AG,Veräusserung,Namenaktien,2001,26618.40,
94,20.05.2020,COLTENE Holding AG,Veräusserung,Namenaktien,5645,403899.75,
95,20.05.2020,Calida Holding AG,Veräusserung,Namenaktien,75,2175.00,
96,20.05.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,200,1591640.00,
97,20.05.2020,EFG International,Erwerb,Namenaktien,26702,144854.00,
98,20.05.2020,Elma Electronic AG,Erwerb,Namenaktien,1,442.00,
99,20.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,822,73653.66,
100,20.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,822,73653.66,
101,20.05.2020,INFICON Holding AG,Veräusserung,Namenaktien,337,235900.00,
102,20.05.2020,Idorsia Ltd,Erwerb,Namenaktien,3125100,93753000.00,
103,20.05.2020,Pargesa Holding SA,Erwerb,Inhaberaktien,4525,274215.00,
104,20.05.2020,Straumann Holding AG,Veräusserung,Namenaktien,100,75000.00,
105,20.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,8,48761.55,
106,20.05.2020,Zurich Insurance Group AG,Veräusserung,Namenaktien,6125,1721275.70,
107,20.05.2020,nebag ag,Erwerb,Namenaktien,1619,14070.41,
108,19.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1320.00,
109,19.05.2020,Bachem Holding AG,Veräusserung,Namenaktien,50,12500.00,
112,19.05.2020,Bellevue Group AG,Veräusserung,Namenaktien,4893,107646.00,
113,19.05.2020,Bobst Group SA,Veräusserung,Namenaktien,1470,81952.50,
114,19.05.2020,Calida Holding AG,Veräusserung,Namenaktien,1782,51958.00,
115,19.05.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,200,1586245.00,
116,19.05.2020,Dätwyler Holding AG,Veräusserung,Inhaberaktien,2924,503225.00,
117,19.05.2020,EFG International,Erwerb,Namenaktien,1136243,6328873.51,
118,19.05.2020,EFG International,Erwerb,Namenaktien,110,600.00,
119,19.05.2020,Kardex AG,Veräusserung,Namenaktien,350,52734.50,
120,19.05.2020,Meier Tobler Group AG,Einräumen/Schreiben,Call Optionen,3278205,29176024.50,
121,19.05.2020,Straumann Holding AG,Veräusserung,Namenaktien,2269,1657200.60,
122,19.05.2020,VZ Holding AG,Veräusserung,Namenaktien,1000,74908.60,
123,19.05.2020,Valartis Group AG,Erwerb,Namenaktien,2000,17600.00,
124,19.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,9,54856.20,
125,19.05.2020,nebag ag,Erwerb,Namenaktien,3696,32106.04,
126,18.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1320.00,
127,18.05.2020,Bellevue Group AG,Veräusserung,Namenaktien,4500,99000.00,
128,18.05.2020,Calida Holding AG,Veräusserung,Namenaktien,231,6699.00,
129,18.05.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,200,1571195.00,
130,18.05.2020,Conzzeta AG,Veräusserung,Namenaktien,100,82630.00,
131,18.05.2020,EFG International,Erwerb,Namenaktien,81471,442711.00,
134,18.05.2020,Logitech International S.A.,Erwerb,Namenaktien,85685,4413119.03,
135,18.05.2020,Logitech International S.A.,Erwerb,Namenaktien,11586,596725.18,
136,18.05.2020,Logitech International S.A.,Erwerb,Namenaktien,8549,440307.58,
137,18.05.2020,METALL ZUG AG,Erwerb,Namenaktien,50,90790.00,
138,18.05.2020,ObsEva SA,Erwerb,Namenaktien,50000,187134.00,
139,18.05.2020,Temenos AG,Veräusserung,Namenaktien,4500,591750.00,
140,15.05.2020,Allreal Holding AG,Erwerb,Namenaktien,691,120372.20,
141,15.05.2020,Allreal Holding AG,Erwerb,Namenaktien,250,43550.00,
142,15.05.2020,Alpine Select AG,Erwerb,Namenaktien,1454,19022.00,
143,15.05.2020,Conzzeta AG,Veräusserung,Namenaktien,250,205570.00,
144,15.05.2020,EFG International,Erwerb,Namenaktien,76705,408377.00,
145,15.05.2020,Givaudan SA,Veräusserung,Namenaktien,77,255394.00,
146,15.05.2020,Peach Property Group AG,Veräusserung,Namenaktien,10000,332667.00,
147,15.05.2020,Temenos AG,Veräusserung,Namenaktien,2000,252000.00,
148,15.05.2020,Valora Holding AG,Erwerb,Namenaktien,16311,2661164.12,
149,15.05.2020,Vifor Pharma AG,Veräusserung,Namenaktien,2000,294600.00,
150,15.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,10,61550.95,
151,14.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1310.00,
152,14.05.2020,Calida Holding AG,Veräusserung,Namenaktien,136,4012.00,
153,14.05.2020,Conzzeta AG,Veräusserung,Namenaktien,250,202014.00,
156,14.05.2020,EFG International,Erwerb,Namenaktien,101926,530638.00,
157,14.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1,87.60,
158,14.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1,87.60,
159,14.05.2020,Kühne + Nagel International AG,Erwerb,Namenaktien,1000,129900.00,
160,14.05.2020,Peach Property Group AG,Veräusserung,Namenaktien,10000,335881.00,
161,14.05.2020,Private Equity Holding AG,Erwerb,Namenaktien,3000,141000.00,
162,14.05.2020,Private Equity Holding AG,Erwerb,Namenaktien,2000,94000.00,
163,14.05.2020,Straumann Holding AG,Erwerb,Namenaktien,260,172400.00,
164,14.05.2020,Temenos AG,Veräusserung,Namenaktien,2000,244000.00,
165,14.05.2020,VZ Holding AG,Erwerb,Namenaktien,110,7595.50,
166,14.05.2020,Valora Holding AG,Erwerb,Namenaktien,22295,3608053.29,
167,14.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,10,61151.25,
168,13.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1310.00,
169,13.05.2020,Calida Holding AG,Veräusserung,Namenaktien,218,6431.00,
170,13.05.2020,Conzzeta AG,Veräusserung,Namenaktien,100,82896.00,
171,13.05.2020,EFG International,Erwerb,Namenaktien,95060,505735.00,
172,13.05.2020,Swiss Re AG,Erwerb,Namenaktien,1829,116650.03,
173,13.05.2020,Valora Holding AG,Erwerb,Namenaktien,12992,2111885.00,
174,13.05.2020,WISeKey International Holding AG,Erwerb,Namenaktien,23849,1192.45,
175,13.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,11,67706.15,
178,13.05.2020,nebag ag,Veräusserung,Namenaktien,1864,16639.93,
179,12.05.2020,Alpine Select AG,Erwerb,Namenaktien,1110,14430.00,
180,12.05.2020,Arbonia AG,Erwerb,Namenaktien,1000,8000.00,
181,12.05.2020,Banque Cantonale Vaudoise,Veräusserung,Namenaktien,100,85900.00,
182,12.05.2020,EFG International,Erwerb,Namenaktien,11135,59016.00,
183,12.05.2020,EFG International,Erwerb,Namenaktien,81539,0.00,
184,12.05.2020,SoftwareONE Holding AG,Veräusserung,Namenaktien,3722712,74454240.00,
185,12.05.2020,SoftwareONE Holding AG,Veräusserung,Namenaktien,3000000,60000000.00,
186,12.05.2020,Stadler Rail AG,Veräusserung,Namenaktien,22070,908728.984,
187,12.05.2020,Swiss Re AG,Veräusserung,Namenaktien,5000,326942.00,
188,12.05.2020,VZ Holding AG,Veräusserung,Namenaktien,190,5334.60,
189,11.05.2020,Alpine Select AG,Erwerb,Namenaktien,500,6550.00,
190,11.05.2020,ObsEva SA,Erwerb,Namenaktien,50000,183378.00,
191,11.05.2020,Stadler Rail AG,Veräusserung,Namenaktien,27930,1146805.80,
192,08.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1320.00,
193,08.05.2020,BB Biotech AG,Veräusserung,Namenaktien,500000,29700000.00,
194,08.05.2020,Gurit Holding AG,Veräusserung,Call Optionen,1410,421590.00,
195,08.05.2020,Huber+Suhner AG,Veräusserung,Namenaktien,120,7620.00,
196,08.05.2020,Novartis AG,Veräusserung,Namenaktien,1,173238.80,
197,08.05.2020,Novartis AG,Veräusserung,Namenaktien,2997,1.00,
200,08.05.2020,ObsEva SA,Erwerb,Namenaktien,50000,158941.00,
201,08.05.2020,ObsEva SA,Erwerb,Namenaktien,5000,15000.00,
202,08.05.2020,Pargesa Holding SA,Veräusserung,Inhaberaktien,2580,176730.00,
203,08.05.2020,Roche Holding AG,Erwerb,Andere Titel,1,500004.00,
204,08.05.2020,Roche Holding AG,Erwerb,Andere Titel,1,199980.00,
205,08.05.2020,Roche Holding AG,Erwerb,Andere Titel,1,93720.00,
206,08.05.2020,Roche Holding AG,Erwerb,Andere Titel,1,15000.00,
207,08.05.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,88440,1351088.42,
208,08.05.2020,Swiss Re AG,Erwerb,Call Optionen,300,77950.00,
209,08.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,1,6295.00,
210,07.05.2020,Alpine Select AG,Erwerb,Namenaktien,200,2630.00,
211,07.05.2020,Cembra Money Bank AG,Veräusserung,Namenaktien,1200,105691.90,
212,07.05.2020,ObsEva SA,Erwerb,Namenaktien,50000,147972.00,
213,07.05.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,132659,1985741.66,
214,07.05.2020,SIG Combibloc Group AG,Veräusserung,Namenaktien,90000,1335000.00,
215,07.05.2020,Sika AG,Erwerb,Namenaktien,300,49362.00,
216,07.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,5,31474.65,
217,07.05.2020,nebag ag,Veräusserung,Namenaktien,1384,12269.85,
218,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,475000.00,
219,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,170000.00,
222,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,150000.00,
223,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,142500.00,
224,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,135000.00,
225,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,130000.00,
226,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,117500.00,
227,06.05.2020,Alcon Inc.,Erwerb,Namenaktien,1,75000.00,
228,06.05.2020,Alpine Select AG,Erwerb,Namenaktien,100,1320.00,
229,06.05.2020,Bachem Holding AG,Veräusserung,Namenaktien,230,55200.00,
230,06.05.2020,Basilea Pharmaceutica AG,Erwerb,Namenaktien,1000,49110.00,
231,06.05.2020,Cembra Money Bank AG,Veräusserung,Namenaktien,3200,282165.60,
232,06.05.2020,METALL ZUG AG,Erwerb,Namenaktien,50,92430.00,
233,06.05.2020,Meier Tobler Group AG,Erwerb,Namenaktien,3455412,30234855.00,
234,06.05.2020,Newron Pharmaceuticals S.p.A.,Erwerb,Namenaktien,5000,9460.00,
235,06.05.2020,Swiss Re AG,Veräusserung,Namenaktien,35000,2310213.50,
236,06.05.2020,Swiss Re AG,Erwerb,Namenaktien,7500,500952.78,
237,06.05.2020,Swissquote Group Holding Ltd,Erwerb,Namenaktien,3146,94332.81,
238,06.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,484054.10,
239,06.05.2020,nebag ag,Veräusserung,Namenaktien,2524,22463.60,
240,06.05.2020,nebag ag,Erwerb,Namenaktien,1523,13242.64,
241,05.05.2020,Alpine Select AG,Erwerb,Namenaktien,150,1970.00,
244,05.05.2020,Dottikon ES Holding AG,Veräusserung,Namenaktien,9,6570.00,
245,05.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1,87.60,
246,05.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1,87.60,
247,05.05.2020,Logitech International S.A.,Veräusserung,Namenaktien,50358,1667220.74,
248,05.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,1998,407782.00,
249,05.05.2020,Schindler Holding AG,Veräusserung,Namenaktien,210,13809.60,
250,05.05.2020,Zuger Kantonalbank AG,Veräusserung,Namenaktien,20,123487.30,
251,05.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,468813.30,
252,05.05.2020,nebag ag,Veräusserung,Namenaktien,1250,10937.50,
253,05.05.2020,nebag ag,Erwerb,Namenaktien,4602,39395.42,
254,04.05.2020,Banque Cantonale Vaudoise,Veräusserung,Namenaktien,100,84271.00,
255,04.05.2020,Banque Cantonale Vaudoise,Veräusserung,Namenaktien,100,83000.00,
256,04.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1008,88300.80,
257,04.05.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,1008,88300.80,
258,04.05.2020,Logitech International S.A.,Veräusserung,Namenaktien,86025,2830440.20,
259,04.05.2020,Newron Pharmaceuticals S.p.A.,Erwerb,Namenaktien,5000,11150.00,
260,04.05.2020,Siegfried Holding AG,Erwerb,Namenaktien,500,138640.00,
261,04.05.2020,Swiss Re AG,Erwerb,Namenaktien,3600,1.00,
262,04.05.2020,UBS Group AG,Erwerb,Namenaktien,4920,48377.70,
263,04.05.2020,VZ Holding AG,Veräusserung,Namenaktien,7520,184631.80,
266,04.05.2020,Varia US Properties AG,Erwerb,Namenaktien,1000,37000.00,
267,04.05.2020,Walliser Kantonalbank,Veräusserung,Namenaktien,94,10152.00,
268,04.05.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,461477.60,
269,04.05.2020,nebag ag,Erwerb,Namenaktien,1581,13359.45,
270,01.05.2020,Logitech International S.A.,Veräusserung,Namenaktien,62490,1972650.69,
271,30.04.2020,AEVIS VICTORIA SA,Erwerb,Namenaktien,3457,39997.49,
272,30.04.2020,Alpine Select AG,Erwerb,Namenaktien,1000,13300.00,
273,30.04.2020,Bellevue Group AG,Veräusserung,Namenaktien,6,135.00,
274,30.04.2020,Comet Holding AG,Veräusserung,Namenaktien,300,39000.00,
275,30.04.2020,Elma Electronic AG,Erwerb,Namenaktien,10,4420.00,
276,30.04.2020,Kudelski S.A.,Erwerb,Andere Titel,60000,35495.00,
277,30.04.2020,PIERER Mobility AG,Erwerb,Inhaberaktien,10000,327697.90,
278,30.04.2020,UBS Group AG,Veräusserung,Namenaktien,198225,2119401.10,
279,30.04.2020,Walliser Kantonalbank,Veräusserung,Namenaktien,228,24624.00,
280,30.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,489885.00,
281,29.04.2020,Alpine Select AG,Veräusserung,Namenaktien,2000,26600.00,
282,29.04.2020,Bellevue Group AG,Veräusserung,Namenaktien,4500,99000.00,
283,29.04.2020,Bergbahnen Engelberg-Trübsee-Titlis AG,Erwerb,Namenaktien,500,24000.00,
284,29.04.2020,Kardex AG,Veräusserung,Namenaktien,7000,958020.00,
285,29.04.2020,St.Galler Kantonalbank AG,Veräusserung,Call Optionen,2540,81915.00,
288,29.04.2020,St.Galler Kantonalbank AG,Erwerb,Namenaktien,1396,549814.60,
289,29.04.2020,UBS Group AG,Veräusserung,Namenaktien,45000,480577.75,
290,29.04.2020,Walliser Kantonalbank,Veräusserung,Namenaktien,178,19224.00,
291,29.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,486043.50,
292,28.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,180,1440000.00,
293,28.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,150,1200000.00,
294,28.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,20,160600.00,
295,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,3025,271493.75,
296,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,1790,160652.50,
297,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,1790,160652.50,
298,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,1335,119816.25,
299,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,790,70902.50,
300,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,790,70902.50,
301,28.04.2020,Helvetia Holding AG,Erwerb,Namenaktien,350,31412.50,
302,28.04.2020,Orascom Development Holding AG,Erwerb,Namenaktien,20000,169800.00,
303,28.04.2020,PIERER Mobility AG,Veräusserung,Inhaberaktien,486026,15389430.10,
304,28.04.2020,PIERER Mobility AG,Erwerb,Inhaberaktien,486026,15389430.10,
305,28.04.2020,Roche Holding AG,Veräusserung,Inhaberaktien,3000,1056300.00,
306,28.04.2020,Roche Holding AG,Erwerb,Inhaberaktien,1000,351430.00,
307,28.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,481138.80,
310,27.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,123,977850.00,
311,27.04.2020,Kardex AG,Veräusserung,Namenaktien,7000,931350.00,
312,27.04.2020,Medacta Group SA,Erwerb,Namenaktien,7450,505092.00,
313,27.04.2020,Nestlé AG,Veräusserung,Namenaktien,5000,521435.50,
314,27.04.2020,Nestlé AG,Veräusserung,Namenaktien,4000,420840.00,
315,27.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,479657.80,
316,24.04.2020,Alpine Select AG,Erwerb,Namenaktien,23,301.30,
317,24.04.2020,DUFRY AG,Erwerb,Namenaktien,3595,100064.16,
318,24.04.2020,Elma Electronic AG,Erwerb,Namenaktien,50,22300.00,
319,24.04.2020,METALL ZUG AG,Erwerb,Namenaktien,25,45965.00,
320,24.04.2020,Medacta Group SA,Erwerb,Namenaktien,7485,501345.00,
321,24.04.2020,PIERER Mobility AG,Erwerb,Inhaberaktien,20000,622553.12,
322,24.04.2020,Romande Energie Holding SA,Erwerb,Namenaktien,10,10400.00,
323,24.04.2020,St.Galler Kantonalbank AG,Veräusserung,Call Optionen,1524,19964.40,
324,24.04.2020,Stadler Rail AG,Veräusserung,Namenaktien,13056,568458.24,
325,24.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,479351.50,
326,23.04.2020,Alpine Select AG,Erwerb,Namenaktien,500,6550.00,
327,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,138,1.00,
328,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,138,1.00,
329,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,210,1.00,
332,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,162,1.00,
333,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,252,1.00,
334,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,498,1.00,
335,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,138,1.00,
336,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,150,1.00,
337,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,150,1.00,
338,23.04.2020,Banque Cantonale de Genève,Erwerb,Namenaktien,138,1.00,
339,23.04.2020,DUFRY AG,Erwerb,Namenaktien,35000,962500.00,
340,23.04.2020,DUFRY AG,Erwerb,Namenaktien,18000,495000.00,
341,23.04.2020,Elma Electronic AG,Erwerb,Namenaktien,1,442.00,
342,23.04.2020,Lonza Group AG,Erwerb,Namenaktien,150,62250.00,
343,23.04.2020,Roche Holding AG,Veräusserung,Inhaberaktien,1000,346000.00,
344,23.04.2020,Sika AG,Erwerb,Namenaktien,275,43098.00,
345,23.04.2020,Stadler Rail AG,Veräusserung,Namenaktien,33046,1444110.20,
346,23.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,475474.40,
347,22.04.2020,Alpine Select AG,Erwerb,Namenaktien,500,6550.00,
348,22.04.2020,BFW Liegenschaften AG,Erwerb,Namenaktien,295,12803.00,
349,22.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,300,2402502.50,
350,22.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,20,160515.00,
351,22.04.2020,EFG International,Erwerb,Namenaktien,100000,577487.00,
354,22.04.2020,ENR Russia Invest SA,Erwerb,Inhaberaktien,10,95.00,
355,22.04.2020,HBM Healthcare Investments AG,Erwerb,Namenaktien,598,126030.00,
356,22.04.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,4,349.90,
357,22.04.2020,HIAG Immobilien Holding AG,Erwerb,Namenaktien,4,349.90,
358,22.04.2020,Medacta Group SA,Erwerb,Namenaktien,7776,495678.35,
359,22.04.2020,Stadler Rail AG,Veräusserung,Namenaktien,6980,299581.60,
360,22.04.2020,Straumann Holding AG,Veräusserung,Namenaktien,990,753498.90,
361,22.04.2020,Straumann Holding AG,Veräusserung,Namenaktien,380,289221.80,
362,22.04.2020,Thurgauer Kantonalbank,Veräusserung,Andere Titel,738,75276.00,
363,22.04.2020,VZ Holding AG,Veräusserung,Namenaktien,10189,683713.00,
364,22.04.2020,dormakaba Holding AG,Erwerb,Namenaktien,1000,473256.80,
365,21.04.2020,Alpine Select AG,Erwerb,Namenaktien,500,6500.00,
366,21.04.2020,Chocoladefabriken Lindt & Sprüngli AG,Veräusserung,Andere Titel,100,795000.00,
